Zeit;Kanal A
(ms);(V)

-4,93968765;1,39825300
-4,93958365;1,39825300
-4,93947965;1,39825300
-4,93937565;1,39825300
-4,93927165;1,39825300
-4,93916765;1,39825300
-4,93906365;1,39825300
-4,93895965;1,35165500
-4,93885565;1,39825300
-4,93875165;1,39825300
-4,93864765;1,39825300
-4,93854365;1,35165500
-4,93843965;1,44485100
-4,93833565;1,39825300
-4,93823165;1,39825300
-4,93812765;1,39825300
-4,93802365;1,39825300
-4,93791965;1,35165500
-4,93781565;1,39825300
-4,93771165;1,39825300
-4,93760765;1,39825300
-4,93750365;1,39825300
-4,93739965;1,39825300
-4,93729565;1,35165500
-4,93719165;1,39825300
-4,93708765;1,35165500
-4,93698365;1,39825300
-4,93687965;1,35165500
-4,93677565;1,39825300
-4,93667165;1,39825300
-4,93656765;1,39825300
-4,93646365;1,39825300
-4,93635965;1,35165500
-4,93625565;1,39825300
-4,93615165;1,35165500
-4,93604765;1,39825300
-4,93594365;1,39825300
-4,93583965;1,35165500
-4,93573565;1,39825300
-4,93563165;1,39825300
-4,93552765;1,39825300
-4,93542365;1,35165500
-4,93531965;1,39825300
-4,93521565;1,39825300
-4,93511165;1,35165500
-4,93500765;1,39825300
-4,93490365;1,35165500
-4,93479965;1,35165500
-4,93469565;1,39825300
-4,93459165;1,39825300
-4,93448765;1,39825300
-4,93438365;1,39825300
-4,93427965;1,39825300
-4,93417565;1,35165500
-4,93407165;1,39825300
-4,93396765;1,39825300
-4,93386365;1,39825300
-4,93375965;1,35165500
-4,93365565;1,35165500
-4,93355165;1,39825300
-4,93344765;1,35165500
-4,93334365;1,39825300
-4,93323965;1,39825300
-4,93313565;1,35165500
-4,93303165;1,39825300
-4,93292765;1,35165500
-4,93282365;1,39825300
-4,93271965;1,35165500
-4,93261565;1,39825300
-4,93251165;1,35165500
-4,93240765;1,39825300
-4,93230365;1,35165500
-4,93219965;1,39825300
-4,93209565;1,39825300
-4,93199165;1,39825300
-4,93188765;1,39825300
-4,93178365;1,35165500
-4,93167965;1,39825300
-4,93157565;1,39825300
-4,93147165;1,35165500
-4,93136765;1,35165500
-4,93126365;1,39825300
-4,93115965;1,39825300
-4,93105565;1,35165500
-4,93095165;1,39825300
-4,93084765;1,39825300
-4,93074365;1,39825300
-4,93063965;1,39825300
-4,93053565;1,39825300
-4,93043165;1,39825300
-4,93032765;1,30505700
-4,93022365;1,39825300
-4,93011965;1,39825300
-4,93001565;1,35165500
-4,92991165;1,39825300
-4,92980765;1,35165500
-4,92970365;1,39825300
-4,92959965;1,39825300
-4,92949565;1,35165500
-4,92939165;1,35165500
-4,92928765;1,39825300
-4,92918365;1,39825300
-4,92907965;1,39825300
-4,92897565;1,35165500
-4,92887165;1,39825300
-4,92876765;1,39825300
-4,92866365;1,39825300
-4,92855965;1,35165500
-4,92845565;1,35165500
-4,92835165;1,39825300
-4,92824765;1,39825300
-4,92814365;1,35165500
-4,92803965;1,39825300
-4,92793565;1,35165500
-4,92783165;1,39825300
-4,92772765;1,39825300
-4,92762365;1,39825300
-4,92751965;1,39825300
-4,92741565;1,39825300
-4,92731165;1,35165500
-4,92720765;1,39825300
-4,92710365;1,39825300
-4,92699965;1,35165500
-4,92689565;1,39825300
-4,92679165;1,39825300
-4,92668765;1,39825300
-4,92658365;1,39825300
-4,92647965;1,35165500
-4,92637565;1,35165500
-4,92627165;1,35165500
-4,92616765;1,39825300
-4,92606365;1,35165500
-4,92595965;1,35165500
-4,92585565;1,39825300
-4,92575165;1,35165500
-4,92564765;1,35165500
-4,92554365;1,35165500
-4,92543965;1,35165500
-4,92533565;1,39825300
-4,92523165;1,39825300
-4,92512765;1,39825300
-4,92502365;1,35165500
-4,92491965;1,35165500
-4,92481565;1,39825300
-4,92471165;1,39825300
-4,92460765;1,39825300
-4,92450365;1,35165500
-4,92439965;1,39825300
-4,92429565;1,44485100
-4,92419165;1,35165500
-4,92408765;1,39825300
-4,92398365;1,39825300
-4,92387965;1,35165500
-4,92377565;1,35165500
-4,92367165;1,39825300
-4,92356765;1,35165500
-4,92346365;1,35165500
-4,92335965;1,35165500
-4,92325565;1,35165500
-4,92315165;1,39825300
